word	vowel	duration	F1	F2
feet	i	0.17353746577407492	440.62	2664.69
juice	u	0.20002571614583076	456.44	2089.31
key	i	0.26911852696673577	407.93	2702.08
stock	\as	0.20757338037634554	834.23	1585.46
cash	\ae	0.2543807183908484	701.26	1897.90
food	u	0.2916356136722129	458.89	1843.22
cap	\ae	0.22319451147575364	752.48	1830.06
caught	\ct	0.22312866512345408	806.86	1269.44
fact	\ae	0.2563305741567774	743.86	1871.89
dog	\ct	0.3482893105349376	788.20	1483.49
heed	i	0.33251625582300903	409.69	2680.78
got	\as	0.23001512607288532	801.94	1421.83
tool	u	0.2161422686213541	462.07	1162.47
sauce	\ct	0.2561598187947425	808.63	1385.00
ad	\ae	0.39162731866002787	849.20	1751.90
ought	\ct	0.2534417141694121	797.29	1314.19
chop	\as	0.2211763621795626	845.25	1551.11
dock	\as	0.24254301697533265	846.83	1587.64
choose	u	0.1969003036437016	445.56	2094.78
ease	i	0.2465486928105065	409.07	2678.09


feet	i	0.17353746577407492	440.62	2664.69
juice	u	0.20002571614583076	456.44	2089.31
key	i	0.26911852696673577	407.93	2702.08
stock	\as	0.20757338037634554	834.23	1585.46
cash	\ae	0.2543807183908484	701.26	1897.90
food	u	0.2916356136722129	458.89	1843.22
cap	\ae	0.22319451147575364	752.48	1830.06
caught	\ct	0.22312866512345408	806.86	1269.44
fact	\ae	0.2563305741567774	743.86	1871.89
dog	\ct	0.3482893105349376	788.20	1483.49
heed	i	0.33251625582300903	409.69	2680.78
got	\as	0.23001512607288532	801.94	1421.83
tool	u	0.2161422686213541	462.07	1162.47
sauce	\ct	0.2561598187947425	808.63	1385.00
ad	\ae	0.39162731866002787	849.20	1751.90
ought	\ct	0.2534417141694121	797.29	1314.19
chop	\as	0.2211763621795626	845.25	1551.11
dock	\as	0.24254301697533265	846.83	1587.64
choose	u	0.1969003036437016	445.56	2094.78
ease	i	0.2465486928105065	409.07	2678.09


feet	i	0.17	440.62	2664.69
juice	u	0.20	456.44	2089.31
key	i	0.27	407.93	2702.08
stock	\as	0.21	834.23	1585.46
